Query#	Type	Level	Category	Query	Expected Json Result	Actual Json Result(Exclude U-Translator Domain)	JsonP/F	Expected String Result	Actual String Result	StringP/F	QueryID	TimeSpent	AudioFile	Dominio
114	1	L2	media player	desactivar repetición	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_OFF"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_OFF"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_OFF	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_OFF	PASS	bc630a84-4a07-2c9d-80e9-64de28deeee7	0.6935	-	MPC
179	1	L1	media player	pausar la canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PAUSE"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PAUSE"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PAUSE	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PAUSE	PASS	1f45dfbb-ebcb-17fd-50e2-bf418ff37c8c	0.7384	-	MPC
180	1	L1	media player	reproducir la canción actual	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG	PASS	b3a4c4d1-5728-91c5-0d5b-1e4dd1d11f4a	0.5915	-	MPC
181	1	L1	media player	reproducir la pista anterior	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	PASS	f9d62466-e06d-0cfc-55da-425486a9027e	0.771	-	MPC
182	1	L1	media player	reproducir la pista número tres	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_NUMBERED_TRACK","PlayNumberedTrackTrackNumber":3.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_NUMBERED_TRACK","PlayNumberedTrackTrackNumber":3}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_NUMBERED_TRACK -> PlayNumberedTrackTrackNumber:3	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_NUMBERED_TRACK -> PlayNumberedTrackTrackNumber:3	PASS	32b31348-8b50-cfcd-ef7d-a036c9dae3a0	0.7845	-	MPC
183	1	L1	media player	repetir la canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPLAY"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPLAY"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPLAY	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPLAY	PASS	cbba04c7-f111-5d1c-f567-c38b96ae08c5	0.7036	-	MPC
184	1	L1	media player	omitir esta canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	PASS	9904ad1e-0c36-4f73-515c-539ea2000a2c	0.7055	-	MPC
185	1	L1	media player	para de reproducir	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	PASS	404daf69-d99a-6e96-1b5f-b4a5659cabd1	1.3576	-	MPC
187	1	L2	media player	Me gustaría escuchar el próximo álbum	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP_ALBUM"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP_ALBUM"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP_ALBUM	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP_ALBUM	PASS	27151675-d68d-66d0-dc9f-85af8c8c8871	1.2219	-	MPC
188	1	L2	media player	quisiera escuchar la siguiente pista	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	PASS	c8a6824c-15fd-2943-bfd8-b183121b6eb9	1.6228	-	MPC
189	1	L2	media player	pausar esta canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PAUSE"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PAUSE"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PAUSE	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PAUSE	PASS	9ff6fab4-abdd-ad08-b090-0bf97197607c	0.8126	-	MPC
190	1	L2	media player	Reproducir música	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG	PASS	b2a1bf0b-38fe-7b79-39e2-195d7c0c64cc	0.9055	-	MPC
191	1	L2	media player	Reproducir la siguiente canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	PASS	5b6ac641-4d23-66ad-6e3a-d2280823923d	0.7718	-	MPC
192	1	L2	media player	Reproducir la siguiente pista	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	PASS	ea1e8a21-11c3-7531-5ee9-78b5a010e877	0.7849	-	MPC
193	1	L2	media player	reproducir la canción anterior	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	PASS	62926cce-874b-eb1f-e7bf-daaf48b40fbc	0.6785	-	MPC
194	1	L2	media player	activar repetición única	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_SINGLE"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_SINGLE"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_SINGLE	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_SINGLE	PASS	c9441ba1-e962-a196-bf73-43ff7a022483	0.7072	-	MPC
195	1	L2	media player	parar música	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	PASS	04d00247-8ec5-d7da-98bc-c7387763b91f	0.6119	-	MPC
196	1	L2	media player	detener la música	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	PASS	278bf291-6cfa-b495-ac21-c27762675c1b	0.7704	-	MPC
197	1	L2	media player	detener esta canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	PASS	f50919d4-47f9-eedb-0173-f450d19cd495	0.6153	-	MPC
198	1	L2	media player	desactivar aleatorio	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SHUFFLE_OFF"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SHUFFLE_OFF"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SHUFFLE_OFF	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SHUFFLE_OFF	PASS	df32c224-1cf1-ffcd-17c0-fca064c194f6	0.6998	-	MPC
199	1	L2	media player	activar la repetición	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_ON"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_ON"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_ON	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_ON	PASS	7fd3e14f-0741-73d5-6ec9-4a519af43242	0.6315	-	MPC
200	1	L2	media player	activar aleatorio	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SHUFFLE_ON"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SHUFFLE_ON"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SHUFFLE_ON	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SHUFFLE_ON	PASS	69c51b90-3668-1691-50c1-c173632891dc	0.6265	-	MPC
683	1	L1-V2	media player	Reproducir la última canción otra vez	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	PASS	ce8e90cb-8c35-6e3e-75f5-de7e47113b4e	0.6295	-	MPC
684	1	L1-V2	media player	Pausar la música	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PAUSE"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PAUSE"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PAUSE	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PAUSE	PASS	9d3c32d9-2a7a-3233-9d27-56f185d0aa13	0.6412	-	MPC
685	1	L1-V2	media player	Repetir el álbum	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPLAY","UserRequestedAll":true,"UserSpecifiedPlaylist":true}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPLAY","UserRequestedAll":true,"UserSpecifiedPlaylist":true}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPLAY -> UserRequestedAll:true -> UserSpecifiedPlaylist:true	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPLAY -> UserRequestedAll:true -> UserSpecifiedPlaylist:true	PASS	065575a6-c442-8fb8-168c-0dd01fc385db	0.697	-	MPC
686	1	L1-V2	media player	Mezclar estas canciones	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SHUFFLE","UserRequestedAll":true,"UserSpecifiedPlaylist":true}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SHUFFLE","UserRequestedAll":true,"UserSpecifiedPlaylist":true}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SHUFFLE -> UserRequestedAll:true -> UserSpecifiedPlaylist:true	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SHUFFLE -> UserRequestedAll:true -> UserSpecifiedPlaylist:true	PASS	bfb6371c-053f-9dbf-9959-788b9d186d44	0.7042	-	MPC
687	1	L1-V2	media player	Apagar repetición	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_OFF"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_OFF"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_OFF	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_OFF	PASS	54940537-ce23-40a7-fa5d-1bb796aad4eb	0.6604	-	MPC
766	1	L1-V2	media player	Reproducir la última canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	PASS	31e6684a-5d2b-8acc-0bb1-efc913d89d47	0.6209	-	MPC
767	1	L1-V2	media player	Saltar la música	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	PASS	0e08c4fa-aa2e-08ea-41b1-398a435f3c72	0.8359	-	MPC
768	1	L1-V2	media player	Saltar tres canciones	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":2.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":2}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:2	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:2	PASS	6e7de91b-14a3-12af-5360-f3434e5a20b7	0.6019	-	MPC
769	1	L1-V2	media player	Me gusta esta canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_THUMBS_UP"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_THUMBS_UP"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_THUMBS_UP	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_THUMBS_UP	PASS	947ddf0f-b4ed-8be9-0f5b-38978bf8e472	0.8549	-	MPC
770	1	L1-V2	media player	No me gusta esta canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_THUMBS_DOWN"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_THUMBS_DOWN"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_THUMBS_DOWN	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_THUMBS_DOWN	PASS	1cf38705-6e14-396c-e28d-e8e134301c7e	0.9142	-	MPC
773	1	L1-V2	media player	Repetir la música	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPLAY"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPLAY"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPLAY	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPLAY	PASS	8cccd9d1-b883-6f5e-a489-bf2420eff7c4	0.6551	-	MPC
774	1	L1-V2	media player	Retroceder la música	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REWIND"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REWIND"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REWIND -> RewindFastForwardAmountinSeconds:30	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REWIND -> RewindFastForwardAmountinSeconds:30	PASS	de914b79-2763-ef17-4a40-564b4e1b7575	0.6713	-	MPC
775	1	L1-V2	media player	Adelantar dos minutos y medio	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_FAST_FORWARD","RewindFastForwardAmountInSeconds":150.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_FAST_FORWARD","RewindFastForwardAmountInSeconds":150}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_FAST_FORWARD -> RewindFastForwardAmountInSeconds:150.0	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_FAST_FORWARD -> RewindFastForwardAmountInSeconds:150.0	PASS	a194f385-44d5-0a6b-2b36-517eff4001c6	0.5993	-	MPC
776	1	L1-V2	media player	Reproducir la última canción identificada	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_IDENTIFIED_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_IDENTIFIED_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_IDENTIFIED_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_IDENTIFIED_SONG	PASS	50f3b065-2b04-a731-fb54-76a53db5af19	0.6489	-	MPC
